Month,Range,Area,location,Latitude,Longitude,Date,Image,Chinkara,Indian Gaur,Indian Palm Civet,Leopard,Nilgai,Sambar Deer,Sloth Bear,Spotted deer,Wild Boar,Wild dog
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,25.01.2021 to 31.01.2021,I__00023 (2).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,25.01.2021 to 31.01.2021,I__00026 (2).JPG,0,0,0,1,0,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,25.01.2021 to 31.01.2021,I__00026 (2).JPG,0,0,0,1,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,25.01.2021 to 31.01.2021,I__00027 (2).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,25.01.2021 to 31.01.2021,I__00002 (2).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,25.01.2021 to 31.01.2021,I__00004 (2).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,25.01.2021 to 31.01.2021,I__00006 (2).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,25.01.2021 to 31.01.2021,I__00007 (2).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,25.01.2021 to 31.01.2021,I__00008 (2).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,25.01.2021 to 31.01.2021,I__00009 (2).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,25.01.2021 to 31.01.2021,I__00010 (2).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,25.01.2021 to 31.01.2021,I__00010 (2).JPG,0,0,0,0,2,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,25.01.2021 to 31.01.2021,I__00011 (2).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,25.01.2021 to 31.01.2021,I__00037 (2).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,18.01.2021 to 24.01.2021,I__00266.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,18.01.2021 to 24.01.2021,I__00267.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,18.01.2021 to 24.01.2021,I__00268.JPG,0,0,0,0,0,0,0,0,0,1
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,18.01.2021 to 24.01.2021,I__00269.JPG,0,0,0,0,0,0,0,0,0,1
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,18.01.2021 to 24.01.2021,I__00270.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,18.01.2021 to 24.01.2021,I__00271.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,18.01.2021 to 24.01.2021,I__00272.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,18.01.2021 to 24.01.2021,I__00273.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00215.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00215.JPG,0,0,0,0,2,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00215.JPG,0,0,0,0,2,0,0,0,0,1
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00216.JPG,0,0,0,0,0,0,0,0,0,1
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00216.JPG,0,0,0,0,0,0,0,0,0,2
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00217.JPG,0,0,0,0,0,0,0,0,0,1
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00218.JPG,0,0,0,0,0,0,0,0,0,1
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00220.JPG,0,0,0,0,0,0,0,0,0,1
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00220.JPG,0,0,0,0,0,0,0,0,0,2
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00221.JPG,0,0,0,0,0,0,0,0,0,1
